Continent,Country,Year,Category,Expenditure,Visitors
Americas,United States,2010,Nonbackpackers,1725707000,380190
Europe,United Kingdom,2010,Holiday,1656393000,274631
Europe,United Kingdom,2010,Visiting friends and relatives,863474000,247673
Europe,United Kingdom,2010,Business,297519000,52705
Europe,United Kingdom,2010,Education,0,0
Europe,United Kingdom,2010,Employment,279088000,22673
Europe,United Kingdom,2010,Otherreason,62618000,14794
Europe,United Kingdom,2010,Backpackers,836333000,113930
Europe,United Kingdom,2010,Nonbackpackers,2438809000,506088
Asia,Korea,2010,Holiday,583436000,120491
Asia,Korea,2010,Visiting friends and relatives,118589000,27420
Asia,Korea,2010,Business,70734000,16430
Asia,Korea,2010,Education,388757000,22703
Asia,Korea,2010,Employment,0,0
Asia,Korea,2010,Otherreason,0,0
Asia,Korea,2010,Backpackers,296566000,29424
Asia,Korea,2010,Nonbackpackers,1037230000,174630
Oceania,New Zealand,2011,Holiday,876776000,405480
Oceania,New Zealand,2011,Visiting friends and relatives,458732000,333750
Oceania,New Zealand,2011,Business,396487000,208303
Oceania,New Zealand,2011,Education,63773000,15295
Oceania,New Zealand,2011,Employment,248801000,42790
Oceania,New Zealand,2011,Otherreason,90286000,44726
Oceania,New Zealand,2011,Backpackers,92527000,34447
Oceania,New Zealand,2011,Nonbackpackers,2042328000,1015896
Asia,Japan,2011,Holiday,799607000,201213
Asia,Japan,2011,Visiting friends and relatives,84741000,31330
Asia,Japan,2011,Business,146308000,33941
Asia,Japan,2011,Education,220031000,19317
Asia,Japan,2011,Employment,0,0
Asia,Japan,2011,Otherreason,60265000,10833
Asia,Japan,2011,Backpackers,159917000,22714
Asia,Japan,2011,Nonbackpackers,1174613000,276690
Asia,Singapore,2011,Holiday,325541000,109571
Asia,Singapore,2011,Visiting friends and relatives,118109000,40622
Asia,Singapore,2011,Business,199571000,55181
Asia,Singapore,2011,Education,260799000,15283
Asia,Singapore,2011,Employment,0,0
Asia,Singapore,2011,Otherreason,29491000,10804
Asia,Singapore,2011,Backpackers,47955000,11590
Asia,Singapore,2011,Nonbackpackers,956399000,228477
Asia,China,2011,Holiday,913116000,227892
Asia,China,2011,Visiting friends and relatives,316573000,86589
Asia,China,2011,Business,350901000,69037
Asia,China,2011,Education,1810609000,88002
Asia,China,2011,Employment,130619000,11107
Asia,China,2011,Otherreason,0,0
Asia,China,2011,Backpackers,98822000,13189
Asia,China,2011,Nonbackpackers,3510648000,491453
Americas,United States,2011,Holiday,756028000,159272
Americas,United States,2011,Visiting friends and relatives,312978000,96194
Americas,United States,2011,Business,648669000,105467
Americas,United States,2011,Education,218239000,23293
Americas,United States,2011,Employment,159341000,17981
Americas,United States,2011,Otherreason,60646000,18488
Americas,United States,2011,Backpackers,274260000,42368
Americas,United States,2011,Nonbackpackers,1881641000,378328
Europe,United Kingdom,2011,Holiday,1373674000,238643
Europe,United Kingdom,2011,Visiting friends and relatives,842315000,239461
Europe,United Kingdom,2011,Business,316038000,55322
Europe,United Kingdom,2011,Education,0,0
Europe,United Kingdom,2011,Employment,307842000,26269
Europe,United Kingdom,2011,Otherreason,70344000,16273
Europe,United Kingdom,2011,Backpackers,782622000,107280
Europe,United Kingdom,2011,Nonbackpackers,2189933000,477483
Asia,Korea,2011,Holiday,592863000,108845
Asia,Korea,2011,Visiting friends and relatives,118927000,26140
Asia,Korea,2011,Business,84681000,17168
Asia,Korea,2011,Education,370129000,20350
Asia,Korea,2011,Employment,0,0
Asia,Korea,2011,Otherreason,116718000,10890
Asia,Korea,2011,Backpackers,291010000,32917
Asia,Korea,2011,Nonbackpackers,1061992000,156956
Oceania,New Zealand,2012,Holiday,896897000,415682
Oceania,New Zealand,2012,Visiting friends and relatives,495451000,350811
Oceania,New Zealand,2012,Business,414343000,208348
Oceania,New Zealand,2012,Education,91779000,17301
Oceania,New Zealand,2012,Employment,280892000,42232
Oceania,New Zealand,2012,Otherreason,77461000,44120
Oceania,New Zealand,2012,Backpackers,86421000,32499
Oceania,New Zealand,2012,Nonbackpackers,2170401000,1045994
Asia,Japan,2012,Holiday,928877000,213916
Asia,Japan,2012,Visiting friends and relatives,82614000,30876
Asia,Japan,2012,Business,132472000,31756
Asia,Japan,2012,Education,268382000,20462
Asia,Japan,2012,Employment,0,0
Asia,Japan,2012,Otherreason,0,0
Asia,Japan,2012,Backpackers,196243000,28667
Asia,Japan,2012,Nonbackpackers,1353100000,290461
Asia,Singapore,2012,Holiday,343190000,129177
Asia,Singapore,2012,Visiting friends and relatives,112938000,45136
Asia,Singapore,2012,Business,166518000,54760
Asia,Singapore,2012,Education,333951000,15693
Asia,Singapore,2012,Employment,0,0
Asia,Singapore,2012,Otherreason,24134000,8737
Asia,Singapore,2012,Backpackers,52767000,8356
Asia,Singapore,2012,Nonbackpackers,974211000,252641
Asia,China,2012,Holiday,1136634000,290226
Asia,China,2012,Visiting friends and relatives,412541000,104269
Asia,China,2012,Business,326811000,64217
Asia,China,2012,Education,1948549000,89901
Asia,China,2012,Employment,190665000,14976
Asia,China,2012,Otherreason,117824000,22070
Asia,China,2012,Backpackers,127426000,11665
Asia,China,2012,Nonbackpackers,4005598000,573993
Americas,United States,2012,Holiday,873572000,169556
Americas,United States,2012,Visiting friends and relatives,364128000,105933
Americas,United States,2012,Business,680850000,113397
Americas,United States,2012,Education,240711000,19988
Americas,United States,2012,Employment,121272000,16316
Americas,United States,2012,Otherreason,62318000,19977
Americas,United States,2012,Backpackers,254239000,40687
Americas,United States,2012,Nonbackpackers,2088611000,404480
Europe,United Kingdom,2012,Holiday,1312971000,216241
Europe,United Kingdom,2012,Visiting friends and relatives,868926000,247213
Europe,United Kingdom,2012,Business,346860000,59439
Europe,United Kingdom,2012,Education,63992000,7843
Europe,United Kingdom,2012,Employment,371007000,27879
Europe,United Kingdom,2012,Otherreason,55966000,14562
Europe,United Kingdom,2012,Backpackers,681885000,93838
Europe,United Kingdom,2012,Nonbackpackers,2337837000,479339
Asia,Korea,2012,Holiday,533951000,107484
Asia,Korea,2012,Visiting friends and relatives,129179000,27746
Asia,Korea,2012,Business,91715000,17308
Asia,Korea,2012,Education,378495000,18517
Asia,Korea,2012,Employment,76292000,6111
Asia,Korea,2012,Otherreason,108153000,11323
Asia,Korea,2012,Backpackers,298579000,32899
Asia,Korea,2012,Nonbackpackers,1019206000,155590
Oceania,New Zealand,2013,Holiday,956330000,411064
Oceania,New Zealand,2013,Visiting friends and relatives,552252000,368796
Oceania,New Zealand,2013,Business,413524000,205968
Oceania,New Zealand,2013,Education,82221000,15175
Oceania,New Zealand,2013,Employment,216305000,37171
Oceania,New Zealand,2013,Otherreason,90047000,47003
Oceania,New Zealand,2013,Backpackers,80212000,28779
Oceania,New Zealand,2013,Nonbackpackers,2230468000,1056397
Asia,Japan,2013,Holiday,777705000,195319
Asia,Japan,2013,Visiting friends and relatives,79816000,31859
Asia,Japan,2013,Business,124690000,32421
Asia,Japan,2013,Education,246420000,22078
Asia,Japan,2013,Employment,0,0
Asia,Japan,2013,Otherreason,0,0
Asia,Japan,2013,Backpackers,193689000,28131
Asia,Japan,2013,Nonbackpackers,1118268000,268578
Asia,Singapore,2013,Holiday,391522000,157079
Asia,Singapore,2013,Visiting friends and relatives,142189000,52427
Asia,Singapore,2013,Business,163295000,57299
Asia,Singapore,2013,Education,264099000,14818
Asia,Singapore,2013,Employment,0,0
Asia,Singapore,2013,Otherreason,0,0
Asia,Singapore,2013,Backpackers,49568000,14140
Asia,Singapore,2013,Nonbackpackers,1004402000,282654
Asia,China,2013,Holiday,1500730000,350070
Asia,China,2013,Visiting friends and relatives,476277000,122389
Asia,China,2013,Business,349226000,62751
Asia,China,2013,Education,2156881000,93628
Asia,China,2013,Employment,169613000,13961
Asia,China,2013,Otherreason,130729000,21909
Asia,China,2013,Backpackers,150824000,16650
Asia,China,2013,Nonbackpackers,4632632000,648058
Americas,United States,2013,Holiday,998274000,190635
Americas,United States,2013,Visiting friends and relatives,381371000,112097
Americas,United States,2013,Business,646203000,109917
Americas,United States,2013,Education,258188000,21622
Americas,United States,2013,Employment,186556000,16930
Americas,United States,2013,Otherreason,81633000,21037
Americas,United States,2013,Backpackers,269321000,39498
Americas,United States,2013,Nonbackpackers,2282904000,432739
Europe,United Kingdom,2013,Holiday,1495337000,246932
Europe,United Kingdom,2013,Visiting friends and relatives,992591000,264597
Europe,United Kingdom,2013,Business,284169000,55107
Europe,United Kingdom,2013,Education,102539000,9732
Europe,United Kingdom,2013,Employment,442302000,30603
Europe,United Kingdom,2013,Otherreason,87665000,14449
Europe,United Kingdom,2013,Backpackers,867742000,111824
Europe,United Kingdom,2013,Nonbackpackers,2536860000,509595
Asia,Korea,2013,Holiday,553601000,106731
Asia,Korea,2013,Visiting friends and relatives,77093000,28659
Asia,Korea,2013,Business,77279000,15694
Asia,Korea,2013,Education,312695000,16553
Asia,Korea,2013,Employment,0,0
Asia,Korea,2013,Otherreason,50849000,9872
Asia,Korea,2013,Backpackers,252139000,26383
Asia,Korea,2013,Nonbackpackers,887052000,157062
Oceania,New Zealand,2014,Holiday,996021000,425069
Oceania,New Zealand,2014,Visiting friends and relatives,620749000,395889
Oceania,New Zealand,2014,Business,390830000,207296
Oceania,New Zealand,2014,Education,98971000,17517
Oceania,New Zealand,2014,Employment,236065000,38028
Oceania,New Zealand,2014,Otherreason,95685000,50427
Oceania,New Zealand,2014,Backpackers,84878000,29338
Oceania,New Zealand,2014,Nonbackpackers,2353443000,1104888
Asia,Japan,2014,Holiday,766745000,193212
Asia,Japan,2014,Visiting friends and relatives,80553000,32389
Asia,Japan,2014,Business,179916000,37451
Asia,Japan,2014,Education,250786000,20403
Asia,Japan,2014,Employment,0,0
Asia,Japan,2014,Otherreason,0,0
Asia,Japan,2014,Backpackers,167430000,24667
Asia,Japan,2014,Nonbackpackers,1197539000,274522
Asia,Singapore,2014,Holiday,433705000,175260
Asia,Singapore,2014,Visiting friends and relatives,160459000,60517
Asia,Singapore,2014,Business,185203000,57319
Asia,Singapore,2014,Education,287576000,14488
Asia,Singapore,2014,Employment,0,0
Asia,Singapore,2014,Otherreason,18121000,8494
Asia,Singapore,2014,Backpackers,42201000,11188
Asia,Singapore,2014,Nonbackpackers,1110761000,314046
Asia,China,2014,Holiday,1894084000,418737
Asia,China,2014,Visiting friends and relatives,677192000,159512
Asia,China,2014,Business,321288000,63462
Asia,China,2014,Education,2447342000,100255
Asia,China,2014,Employment,263580000,20205
Asia,China,2014,Otherreason,108706000,22117
Asia,China,2014,Backpackers,110756000,18382
Asia,China,2014,Nonbackpackers,5601437000,765905
Americas,United States,2014,Holiday,1154904000,218798
Americas,United States,2014,Visiting friends and relatives,457778000,126415
Americas,United States,2014,Business,712896000,116798
Americas,United States,2014,Education,215756000,20050
Americas,United States,2014,Employment,156190000,19561
Americas,United States,2014,Otherreason,92727000,20926
Americas,United States,2014,Backpackers,255760000,43038
Americas,United States,2014,Nonbackpackers,2534491000,479510
Europe,United Kingdom,2014,Holiday,1461787000,227617
Europe,United Kingdom,2014,Visiting friends and relatives,991898000,267760
Europe,United Kingdom,2014,Business,347645000,59577
Europe,United Kingdom,2014,Education,106762000,9190
Europe,United Kingdom,2014,Employment,402132000,35148
Europe,United Kingdom,2014,Otherreason,73317000,15899
Europe,United Kingdom,2014,Backpackers,753437000,94939
Europe,United Kingdom,2014,Nonbackpackers,2630103000,520251
Asia,Korea,2014,Holiday,521911000,108987
Asia,Korea,2014,Visiting friends and relatives,88675000,30731
Asia,Korea,2014,Business,72547000,15946
Asia,Korea,2014,Education,292167000,14829
Asia,Korea,2014,Employment,0,0
Asia,Korea,2014,Otherreason,109325000,10647
Asia,Korea,2014,Backpackers,201886000,25006
Asia,Korea,2014,Nonbackpackers,937857000,162747
Oceania,New Zealand,2015,Holiday,1073040000,458593
Oceania,New Zealand,2015,Visiting friends and relatives,624636000,406942
Oceania,New Zealand,2015,Business,387756000,199802
Oceania,New Zealand,2015,Education,161513000,22244
Oceania,New Zealand,2015,Employment,281248000,46949
Oceania,New Zealand,2015,Otherreason,113634000,53051
Oceania,New Zealand,2015,Backpackers,80332000,27069
Oceania,New Zealand,2015,Nonbackpackers,2561495000,1160511
Asia,Japan,2015,Holiday,736257000,196849
Asia,Japan,2015,Visiting friends and relatives,86512000,36614
Asia,Japan,2015,Business,134246000,34483
Asia,Japan,2015,Education,307015000,25700
Asia,Japan,2015,Employment,0,0
Asia,Japan,2015,Otherreason,0,0
Asia,Japan,2015,Backpackers,174938000,27429
Asia,Japan,2015,Nonbackpackers,1157117000,281202
Asia,Singapore,2015,Holiday,499242000,188935
Asia,Singapore,2015,Visiting friends and relatives,159750000,59250
Asia,Singapore,2015,Business,207510000,59183
Asia,Singapore,2015,Education,400980000,16375
Asia,Singapore,2015,Employment,0,0
Asia,Singapore,2015,Otherreason,0,0
Asia,Singapore,2015,Backpackers,50843000,11783
Asia,Singapore,2015,Nonbackpackers,1332255000,332876
Asia,China,2015,Holiday,2725450000,511149
Asia,China,2015,Visiting friends and relatives,1013272000,190938
Asia,China,2015,Business,433094000,62093
Asia,China,2015,Education,3435950000,126834
Asia,China,2015,Employment,380107000,34155
Asia,China,2015,Otherreason,279839000,27196
Asia,China,2015,Backpackers,125151000,15139
Asia,China,2015,Nonbackpackers,8142562000,937226
Americas,United States,2015,Holiday,1470232000,251761
Americas,United States,2015,Visiting friends and relatives,558653000,139201
Americas,United States,2015,Business,736155000,109648
Americas,United States,2015,Education,301033000,24622
Americas,United States,2015,Employment,231095000,26116
Americas,United States,2015,Otherreason,114154000,22383
Americas,United States,2015,Backpackers,347956000,47530
Americas,United States,2015,Nonbackpackers,3063367000,526203
Europe,United Kingdom,2015,Holiday,1740414000,255287
Europe,United Kingdom,2015,Visiting friends and relatives,1148952000,277556
Europe,United Kingdom,2015,Business,322289000,53165
Europe,United Kingdom,2015,Education,132574000,12696
Europe,United Kingdom,2015,Employment,350504000,34330
Europe,United Kingdom,2015,Otherreason,107298000,16145
Europe,United Kingdom,2015,Backpackers,840705000,98200
Europe,United Kingdom,2015,Nonbackpackers,2961326000,550979
Asia,Korea,2015,Holiday,641906000,119916
Asia,Korea,2015,Visiting friends and relatives,119652000,38266
Asia,Korea,2015,Business,75778000,16392
Asia,Korea,2015,Education,300210000,15925
Asia,Korea,2015,Employment,0,0
Asia,Korea,2015,Otherreason,106651000,11413
Asia,Korea,2015,Backpackers,241739000,25843
Asia,Korea,2015,Nonbackpackers,1103626000,185050
Oceania,New Zealand,2016,Holiday,1216370000,502486
Oceania,New Zealand,2016,Visiting friends and relatives,593282000,398984
Oceania,New Zealand,2016,Business,446390000,204834
Oceania,New Zealand,2016,Education,142663000,20296
Oceania,New Zealand,2016,Employment,208520000,38852
Oceania,New Zealand,2016,Otherreason,105162000,55726
Oceania,New Zealand,2016,Backpackers,95090000,35251
Oceania,New Zealand,2016,Nonbackpackers,2617298000,1185927
Asia,Japan,2016,Holiday,1094568000,269439
Asia,Japan,2016,Visiting friends and relatives,92414000,33416
Asia,Japan,2016,Business,160770000,37261
