Continent,Country,Year,Category,Expenditure,Visitors,AverageStayNights
Americas,United States,2008,Nonbackpackers,2167651000,377991,18.7
Europe,United Kingdom,2008,Holiday,2041514000,306002,35.8
Europe,United Kingdom,2008,Visiting friends and relatives,1090818000,242321,27.1
Europe,United Kingdom,2008,Business,297887000,52685,15
Europe,United Kingdom,2008,Education,0,0,0
Europe,United Kingdom,2008,Employment,269753000,20770,109.3
Europe,United Kingdom,2008,Otherreason,89428000,14820,25.7
Europe,United Kingdom,2008,Backpackers,886505000,115906,63.7
Europe,United Kingdom,2008,Nonbackpackers,2978068000,528101,26.9
Asia,Korea,2008,Holiday,571187000,121643,34.5
Asia,Korea,2008,Visiting friends and relatives,130921000,26014,30.6
Asia,Korea,2008,Business,93512000,17183,19.4
Asia,Korea,2008,Education,437362000,23831,185.6
Asia,Korea,2008,Employment,0,0,0
Asia,Korea,2008,Otherreason,0,0,0
Asia,Korea,2008,Backpackers,292608000,32691,127.3
Asia,Korea,2008,Nonbackpackers,1069952000,174592,44.5
Oceania,New Zealand,2009,Holiday,827676000,403898,11.4
Oceania,New Zealand,2009,Visiting friends and relatives,462832000,316140,12.4
Oceania,New Zealand,2009,Business,315079000,182967,7.7
Oceania,New Zealand,2009,Education,74245000,13908,43.2
Oceania,New Zealand,2009,Employment,172210000,34743,72.3
Oceania,New Zealand,2009,Otherreason,57154000,39097,5.6
Oceania,New Zealand,2009,Backpackers,72307000,28091,23
Oceania,New Zealand,2009,Nonbackpackers,1836889000,962663,13.1
Asia,Japan,2009,Holiday,969332000,232637,15.9
Asia,Japan,2009,Visiting friends and relatives,90650000,32609,13.5
Asia,Japan,2009,Business,130325000,29575,16.6
Asia,Japan,2009,Education,202541000,15817,120.6
Asia,Japan,2009,Employment,0,0,0
Asia,Japan,2009,Otherreason,46089000,11914,28.5
Asia,Japan,2009,Backpackers,177967000,21628,99
Asia,Japan,2009,Nonbackpackers,1285498000,304384,16.6
Asia,Singapore,2009,Holiday,297688000,107767,10
Asia,Singapore,2009,Visiting friends and relatives,93670000,39896,14.4
Asia,Singapore,2009,Business,135640000,42245,9.1
Asia,Singapore,2009,Education,244869000,14345,114.4
Asia,Singapore,2009,Employment,0,0,0
Asia,Singapore,2009,Otherreason,0,0,0
Asia,Singapore,2009,Backpackers,35731000,6932,37.1
Asia,Singapore,2009,Nonbackpackers,805544000,212044,20.9
Asia,China,2009,Holiday,733362000,148067,8.5
Asia,China,2009,Visiting friends and relatives,216928000,58479,57.6
Asia,China,2009,Business,236540000,46532,20.2
Asia,China,2009,Education,1278391000,66018,172.8
Asia,China,2009,Employment,74302000,6968,161.1
Asia,China,2009,Otherreason,0,0,0
Asia,China,2009,Backpackers,46076000,3820,90.6
Asia,China,2009,Nonbackpackers,2561303000,337198,53.9
Americas,United States,2009,Holiday,930385000,188159,16.4
Americas,United States,2009,Visiting friends and relatives,324290000,105456,20.4
Americas,United States,2009,Business,474484000,88520,11.9
Americas,United States,2009,Education,320435000,23850,79.7
Americas,United States,2009,Employment,138588000,19202,66
Americas,United States,2009,Otherreason,81667000,18668,14.9
Americas,United States,2009,Backpackers,330517000,46816,47.5
Americas,United States,2009,Nonbackpackers,1939332000,397039,18.9
Europe,United Kingdom,2009,Holiday,1926813000,294624,43.1
Europe,United Kingdom,2009,Visiting friends and relatives,934195000,252650,25.8
Europe,United Kingdom,2009,Business,245918000,46156,18
Europe,United Kingdom,2009,Education,0,0,0
Europe,United Kingdom,2009,Employment,209065000,19360,120.7
Europe,United Kingdom,2009,Otherreason,63327000,15168,21.3
Europe,United Kingdom,2009,Backpackers,1015989000,130934,69
Europe,United Kingdom,2009,Nonbackpackers,2468056000,505033,28.8
Asia,Korea,2009,Holiday,503293000,92672,57.2
Asia,Korea,2009,Visiting friends and relatives,104326000,25672,32.2
Asia,Korea,2009,Business,62621000,12964,21.6
Asia,Korea,2009,Education,474383000,24979,188.2
Asia,Korea,2009,Employment,0,0,0
Asia,Korea,2009,Otherreason,0,0,0
Asia,Korea,2009,Backpackers,317881000,30104,161.4
Asia,Korea,2009,Nonbackpackers,1035997000,143326,64
Oceania,New Zealand,2010,Holiday,926574000,422850,12.1
Oceania,New Zealand,2010,Visiting friends and relatives,452280000,320156,12.8
Oceania,New Zealand,2010,Business,420817000,201771,7.5
Oceania,New Zealand,2010,Education,73311000,14706,32.9
Oceania,New Zealand,2010,Employment,205177000,38742,72.3
Oceania,New Zealand,2010,Otherreason,69270000,41656,6.3
Oceania,New Zealand,2010,Backpackers,77090000,32525,22.8
Oceania,New Zealand,2010,Nonbackpackers,2070340000,1007357,13.4
Asia,Japan,2010,Holiday,981959000,262535,16.8
Asia,Japan,2010,Visiting friends and relatives,74103000,30739,14.2
Asia,Japan,2010,Business,158959000,33507,16.3
Asia,Japan,2010,Education,204554000,18675,107.4
Asia,Japan,2010,Employment,0,0,0
Asia,Japan,2010,Otherreason,38139000,11350,17
Asia,Japan,2010,Backpackers,177930000,26780,103.5
Asia,Japan,2010,Nonbackpackers,1311911000,334456,15.8
Asia,Singapore,2010,Holiday,301617000,112563,10.1
Asia,Singapore,2010,Visiting friends and relatives,123190000,40207,16.8
Asia,Singapore,2010,Business,163306000,50818,8.9
Asia,Singapore,2010,Education,286904000,15525,104.2
Asia,Singapore,2010,Employment,0,0,0
Asia,Singapore,2010,Otherreason,0,0,0
Asia,Singapore,2010,Backpackers,62211000,11186,31.4
Asia,Singapore,2010,Nonbackpackers,883131000,225957,18.6
Asia,China,2010,Holiday,740770000,185478,10.2
Asia,China,2010,Visiting friends and relatives,291851000,75255,66.9
Asia,China,2010,Business,285411000,54700,18.7
Asia,China,2010,Education,1583116000,81330,170
Asia,China,2010,Employment,0,0,0
Asia,China,2010,Otherreason,0,0,0
Asia,China,2010,Backpackers,81260000,7811,98.9
Asia,China,2010,Nonbackpackers,3014626000,415980,54.7
Americas,United States,2010,Holiday,774839000,169353,17.2
Americas,United States,2010,Visiting friends and relatives,303348000,98834,21.7
Americas,United States,2010,Business,539419000,104966,12.4
Americas,United States,2010,Education,246077000,21382,83.5
Americas,United States,2010,Employment,116704000,18060,74.4
Americas,United States,2010,Otherreason,53056000,18842,8.7
Americas,United States,2010,Backpackers,307735000,51247,44.9
Americas,United States,2010,Nonbackpackers,1725707000,380190,19.3
Europe,United Kingdom,2010,Holiday,1656393000,274631,39.6
Europe,United Kingdom,2010,Visiting friends and relatives,863474000,247673,27.3
Europe,United Kingdom,2010,Business,297519000,52705,17.7
Europe,United Kingdom,2010,Education,0,0,0
Europe,United Kingdom,2010,Employment,279088000,22673,125.3
Europe,United Kingdom,2010,Otherreason,62618000,14794,36.8
Europe,United Kingdom,2010,Backpackers,836333000,113930,72.5
Europe,United Kingdom,2010,Nonbackpackers,2438809000,506088,28.9
Asia,Korea,2010,Holiday,583436000,120491,46.9
Asia,Korea,2010,Visiting friends and relatives,118589000,27420,39.1
Asia,Korea,2010,Business,70734000,16430,20.4
Asia,Korea,2010,Education,388757000,22703,176.5
Asia,Korea,2010,Employment,0,0,0
Asia,Korea,2010,Otherreason,0,0,0
Asia,Korea,2010,Backpackers,296566000,29424,158.8
Asia,Korea,2010,Nonbackpackers,1037230000,174630,52.5
